2013	3 43 1 7 7 2 0
2014	2 43 1 5 4 1 0
2015	4 47 1 9 10 1 2
2016	1 53 7 9 9 0 0
2017	5 60 5 12 3 6 0
2018	3 91 4 8 12 8 0
